lang_key,translation_key,translation_text,verified,translated
en,INITIATED_BY,Initiated By,FALSE,FALSE
en,INITIATED_DEPARTMENT,Initiated Department,FALSE,FALSE
en,INPATIENT_WAITING_LIST,Inpatient Waiting List,FALSE,FALSE
en,INSURANCE_PROVIDER,Insurance Provider,FALSE,FALSE
en,INTERACTED_INGREDIENT,Interacted Ingredient,FALSE,FALSE
en,INTERNATIONAL_NUMBER,International Number,FALSE,FALSE
en,INVASIVE_DEVICES,Invasive Devices,FALSE,FALSE
en,INVENTORY_ATTRIBUTES,Inventory Attributes,FALSE,FALSE
en,INVENTORY_TYPE,Inventory Type,FALSE,FALSE
en,INVOICE,Invoice,FALSE,FALSE
en,INVOICES,Invoices,FALSE,FALSE
en,INVOICES_PRINT,Invoices Print,FALSE,FALSE
en,INVOICE_APPROACH_REQUIRED,Invoice Approach Required,FALSE,FALSE
en,INVOICE_NUMBER,Invoice Number,FALSE,FALSE
en,INVOICING,Invoicing,FALSE,FALSE
en,ISOLATION_PRECAUTIONS,Isolation Precautions,FALSE,FALSE
en,IS_EXTERNAL_FACILITY,Is External Facility,FALSE,FALSE
en,IS_PLANNED,Is Planned,FALSE,FALSE
en,IS_URGENT,Is Urgent,FALSE,FALSE
en,ITEM_CATEGORY,Item Category,FALSE,FALSE
en,ITEM_CODE,Item Code,FALSE,FALSE
en,ITEM_TYPE,Item Type,FALSE,FALSE
en,JUSTIFICATION,Justification,FALSE,FALSE
en,LANDLINE_NUMBER,Landline Number,FALSE,FALSE
en,LANGUAGES,Languages,FALSE,FALSE
en,LANGUAGE_CODE,Language Code,FALSE,FALSE
en,LANGUAGE_NAME,Language Name,FALSE,FALSE
en,LANGUAGE_VALUES,Language Values,FALSE,FALSE
en,LAST_PURCHASE_ORDER,Last Purchase Order,FALSE,FALSE
en,LAST_UPDATED,Last Updated,FALSE,FALSE
en,LEAD_TIME,Lead Time,FALSE,FALSE
en,LEAD_TIME_(PROCUREMENT),Lead Time Procurement,FALSE,FALSE
